AAI,NO2,CO,LST,temperature,precipitation,humidite,pression,mois_sin,mois_cos,jour_sin,saison_seche,AAI_lag1,AAI_lag3,AAI_lag7,AAI_lag14,AAI_lag30,AAI_roll7,AAI_roll14,AAI_roll30,vitesse_vent,humidite_relative,LST_lag1,LST_lag7,temp_lag1,NO2_lag1,NO2_lag7,CO_lag1,CO_lag7,delta_temp,precipitation_roll7,vitesse_vent_lag1,AAI_t3,harmattan_bin,AAI_lag2,pluie_bin,vent_nord,harmattan_bin_t3
-0.5157285203598168,66.73615269900961,0.0300019507533807,31.5,26.56,8.36,22.04,975.69,-0.4999999999999997,-0.8660254037844388,-0.0258184402271323,0,-1.0903163382956107,-0.3460118408620225,-1.0948289412728274,-1.0948289412728274,-1.0948289412728274,-0.3261885970465304,-0.7105087691596789,-0.9154795276200248,1.2437853512563974,0.8298192771084337,31.5,34.25,27.48,54.09724856235785,46.85198918390373,0.0300019507533807,0.0300019507533807,-0.9200000000000016,2.442857142857143,1.8479288406213048,0.0766226441790731,0,0.9695920091182024,1,0,0.0
0.8094239051707133,68.62191110806161,0.0300019507533807,31.5,27.8,0.39,21.36,975.85,-0.4999999999999997,-0.8660254037844388,-0.0430222330045303,0,-0.5157285203598168,0.9695920091182024,-1.0948289412728274,-1.0948289412728274,-1.0948289412728274,-0.0541524761260246,-0.574490708699426,-0.8520044327385734,1.8942154048576416,0.7683453237410072,31.5,34.25,26.56,66.73615269900961,46.85198918390373,0.0300019507533807,0.0300019507533807,1.240000000000002,2.434285714285714,1.2437853512563974,0.7322609085837849,0,-1.0903163382956107,1,0,0.0
0.2952667382703538,64.586712092205,0.0300019507533807,36.59,28.15,3.57,22.14,977.16,-0.4999999999999997,-0.8660254037844388,-0.0602132773657927,0,0.8094239051707133,-1.0903163382956107,-1.0948289412728274,-1.0948289412728274,-1.0948289412728274,0.1444326209515727,-0.4751981601606273,-0.805667910087134,2.022996292631304,0.7865008880994672,31.5,34.25,27.8,68.62191110806161,46.85198918390373,0.0300019507533807,0.0300019507533807,0.3499999999999978,2.9385714285714286,1.8942154048576416,-0.5688778554426356,0,-0.5157285203598168,1,0,0.0
0.0766226441790731,56.34632284568497,0.0300019507533807,36.59,27.31,2.93,22.29,977.39,-0.4999999999999997,-0.8660254037844388,-0.0773864792334632,0,0.2952667382703538,-0.5157285203598168,0.8888023936191893,-1.0948289412728274,-1.0948289412728274,0.0284069424601275,-0.391523046914063,-0.766619523905404,1.8404567367911693,0.8161845477846943,36.59,34.25,28.15,64.586712092205,40.80433535760857,0.0300019507533807,0.0300019507533807,-0.8399999999999999,3.157142857142857,2.022996292631304,-0.1151911744805223,0,0.8094239051707133,1,0,0.0
0.7322609085837849,83.72912919035358,0.0299510766928791,30.26,28.48,0.01,21.37,977.4,-0.4999999999999997,-0.8660254037844388,-0.0945367498171993,0,0.0766226441790731,0.8094239051707133,-0.3460118408620225,-1.0948289412728274,-1.0948289412728274,0.1824459066666714,-0.2610166290671621,-0.7057165289101835,1.936432286448457,0.7503511235955056,36.59,31.5,27.31,56.34632284568497,71.79770351641176,0.0300019507533807,0.0300019507533807,1.1700000000000017,2.8442857142857143,1.8404567367911693,1.2658535486926528,0,0.2952667382703538,1,0,1.0
-0.5688778554426356,64.74619791891217,0.0307721768656775,30.26,29.33,0.94,21.69,977.01,-0.4999999999999997,-0.8660254037844388,-0.1116590071216944,0,0.7322609085837849,0.2952667382703538,0.9695920091182024,-1.0948289412728274,-1.0948289412728274,-0.0373355025563054,-0.2234486943650055,-0.6881848260491772,1.4513803774338416,0.7395158540743267,30.26,31.5,28.48,83.72912919035358,68.61448063452639,0.0299510766928791,0.0300019507533807,0.8499999999999979,2.447142857142857,1.936432286448457,0.1004854918570987,0,0.0766226441790731,1,0,0.0
-0.1151911744805223,53.57080687739919,0.0311252886132035,30.26,27.96,7.39,22.48,977.6,-0.4999999999999997,-0.8660254037844388,-0.1287481774525806,0,-0.5688778554426356,0.0766226441790731,-1.0903163382956107,-1.0948289412728274,-1.0948289412728274,0.1019680922744215,-0.1534745681655552,-0.655530233822767,1.2805811180866289,0.804005722460658,30.26,31.5,29.33,64.74619791891217,54.09724856235785,0.0307721768656775,0.0300019507533807,-1.3699999999999974,3.37,1.4513803774338416,0.1191272279902261,0,0.7322609085837849,1,0,0.0
1.2658535486926528,42.395415835886205,0.0314784003607295,29.37,28.49,0.52,21.77,978.22,-0.4999999999999997,-0.8660254037844388,-0.1457991969198744,0,-0.1151911744805223,0.7322609085837849,-0.5157285203598168,-1.0948289412728274,-1.0948289412728274,0.3564798164247743,0.0151456096891219,-0.5768408174905845,2.186676930870219,0.7641277641277642,30.26,31.5,27.96,53.57080687739919,66.73615269900961,0.0311252886132035,0.0300019507533807,0.5299999999999976,2.25,1.2805811180866289,-0.0308795784216229,1,-0.5688778554426356,1,0,0.0
0.1004854918570987,61.15801589587739,0.0318315121082554,29.37,28.3,5.63,22.07,977.55,-0.4999999999999997,-0.8660254037844388,-0.1628070129385164,0,1.2658535486926528,-0.5688778554426356,0.8094239051707133,-1.0948289412728274,-1.0948289412728274,0.255202900237115,0.1005252120555452,-0.5369970030529202,2.3744677298291506,0.7798586572438162,29.37,31.5,28.49,42.395415835886205,68.62191110806161,0.0314784003607295,0.0300019507533807,-0.1899999999999977,2.998571428571428,2.186676930870219,1.711118540687147,0,-0.1151911744805223,1,0,1.0
0.1191272279902261,78.27591485698503,0.0321846238557815,29.61,26.78,4.71,22.28,977.97,-0.4999999999999997,-0.8660254037844388,-0.1797665857255621,0,0.1004854918570987,-0.1151911744805223,0.2952667382703538,-1.0948289412728274,-1.0948289412728274,0.2300401130542397,0.1872363670029062,-0.4965317974108184,2.0342000884868727,0.8319641523525019,29.37,36.59,28.3,61.15801589587739,64.586712092205,0.0318315121082554,0.0300019507533807,-1.5199999999999996,3.1614285714285715,2.3744677298291506,0.1106943149456538,0,1.2658535486926528,1,0,0.0
-0.0308795784216229,68.54582256983409,0.0336685515610177,29.85,28.43,0.01,21.11,977.36,-0.4999999999999997,-0.8660254037844388,-0.1966728897935762,0,0.1191272279902261,1.2658535486926528,0.0766226441790731,0.8888023936191893,-1.0948289412728274,0.2146826526827116,0.1215447975714195,-0.4610668186491116,1.98900628455518,0.742525501231094,29.61,36.59,26.78,78.27591485698503,56.34632284568497,0.0321846238557815,0.0300019507533807,1.6499999999999986,2.7442857142857138,2.0342000884868727,0.0204884336844049,0,0.1004854918570987,1,0,0.0
1.711118540687147,57.12115918565857,0.0301073864102363,30.09,29.53,0.21,21.15,976.14,-0.4999999999999997,-0.8660254037844388,-0.2135209154397959,0,-0.0308795784216229,0.1004854918570987,0.7322609085837849,-0.3460118408620225,-1.0948289412728274,0.3545194572689062,0.2684826819677888,-0.3675352359171124,2.431692825995915,0.7162207924144937,29.85,30.26,28.43,68.54582256983409,83.72912919035358,0.0336685515610177,0.0299510766928791,1.1000000000000014,2.7728571428571427,1.98900628455518,-0.9035412983055112,1,0.1191272279902261,1,0,0.0
0.1106943149456538,51.578041770229405,0.0316438179819667,30.33,28.79,0.96,21.89,975.54,-0.4999999999999997,-0.8660254037844388,-0.2303056702306119,0,1.711118540687147,0.1191272279902261,-0.5688778554426356,0.9695920091182024,-1.0948289412728274,0.4516011958958046,0.2071328466697496,-0.3273511273764963,2.892763730414221,0.7603334491142758,30.09,30.26,29.53,57.12115918565857,64.74619791891217,0.0301073864102363,0.0307721768656775,-0.740000000000002,2.775714285714286,2.431692825995915,-0.3838187791852975,0,-0.0308795784216229,1,0,0.0
0.0204884336844049,59.96201178062278,0.0331802495536972,30.57,27.59,2.86,22.12,977.1,-0.4999999999999997,-0.8660254037844388,-0.2470221804809352,0,0.1106943149456538,-0.0308795784216229,-0.1151911744805223,-1.0903163382956107,-1.0948289412728274,0.4709839970622229,0.2864760446683222,-0.2901738815445886,2.258897297355504,0.8017397607828924,30.33,30.26,28.79,51.578041770229405,53.57080687739919,0.0316438179819667,0.0311252886132035,-1.1999999999999993,2.128571428571429,2.892763730414221,-0.9933386387740633,0,1.711118540687147,1,0,0.0
